hour,anger_avg,anticipation_avg,disgust_avg,fear_avg,joy_avg,sadness_avg,surprise_avg,trust_avg,negative_avg,positive_avg
0,0.05791836230483712,0.12079506738126716,0.045812771069774466,0.06986802823904723,0.07391542275300615,0.05056820663453976,0.04275547991932288,0.13764661227041586,0.14754355236975455,0.2531764970580035
1,0.057725733688288025,0.12059702344101147,0.04542399217456036,0.07010012380446952,0.073622201581675,0.05068556534606913,0.042594224249790924,0.13779954224598948,0.14752775508694604,0.2539238383811688
2,0.05767225109078924,0.12088848451397963,0.04538882208990067,0.07009431392791325,0.07387294418724082,0.05058249555573448,0.04272894361681645,0.1374668997307984,0.14685656207483108,0.25444828321196583
3,0.057422032602534354,0.11944918569161057,0.04489359044895351,0.0707645947275832,0.07353518669404348,0.05028897721491063,0.04249147528327305,0.13841077671281193,0.14614458429336466,0.25659959633088747
4,0.056934090153027396,0.11873391160020247,0.044639625060673704,0.07113202912564161,0.07263964246570041,0.0497307086023611,0.04213330324849938,0.13903967913556042,0.14592368600453245,0.2590933246037769
5,0.0562761190073027,0.1183556129336754,0.04374938108172088,0.07190986415821572,0.07266275710994963,0.049370987845693416,0.04173556012296849,0.13985716941345855,0.14411482049159202,0.26196772783540184
6,0.05637256609242102,0.11729450611506172,0.04437280482896051,0.07283970589050198,0.07224781326129741,0.0496384141709043,0.04158582912723742,0.14052783665485433,0.14399696854034594,0.2611235553183958
7,0.05679434610625757,0.11783805382373773,0.04393907698146174,0.07257579708046005,0.07249638177363812,0.04972173220168499,0.041680473368016606,0.14002874931213538,0.1436992718396354,0.26122611751295477
8,0.05694493451052261,0.11728825357599328,0.0447901398397402,0.07264951167738148,0.07269479308604249,0.05000947669980121,0.04095753102185149,0.13955439015160417,0.14467674069777725,0.26043422873927163
9,0.05722061134887451,0.11816493742788918,0.045049602535757856,0.07178953878144546,0.07339293563404749,0.050188218571144576,0.041097695408630154,0.13943261768524132,0.14521406523801758,0.2584497773689383
10,0.057226896939606794,0.11818045200554261,0.04546309189869518,0.07124405218659885,0.07398481546661613,0.05090675709180687,0.04206677011251187,0.13828897259691725,0.14643789130686383,0.2562003003948248
11,0.057534151396275476,0.12033658496719489,0.0454553924113318,0.07002928803230304,0.07525759110407262,0.05095584210157786,0.042713784433858384,0.13687204596237526,0.1479245410271378,0.252920778563852
12,0.05835350908540577,0.12207363741433233,0.0463154615227893,0.06966594557403011,0.07514594956922735,0.05158237321405524,0.04276831001207261,0.13505219573729677,0.15015815366620874,0.24888446420455654
13,0.05787789598874335,0.12261496896753865,0.0460789274197234,0.06866295711630192,0.07597615661871669,0.05142038426129965,0.04257905876804508,0.13572814075056458,0.14982020010956254,0.2492413099994714
14,0.05800750765353796,0.12354396153450765,0.04603712221595473,0.06852079950249403,0.07633472371432741,0.0514002016908528,0.04300140011449305,0.13535372188887068,0.14888435587970428,0.24891620580522233
15,0.05797671278547822,0.12204906833571107,0.0458902902450228,0.06838893203236814,0.07647828491712871,0.05166513984372372,0.042868414321959696,0.13635532588243604,0.14822566170038382,0.250102169935753
16,0.057783642749698674,0.12176309662483609,0.04565101135673176,0.06894339282802661,0.07580820009262743,0.05184061718128948,0.04268198751463148,0.1364540912596402,0.14915340297839677,0.24992055741408833
17,0.05798876456506553,0.1215446026039318,0.045836430512294885,0.06883988805995625,0.07559705463458677,0.05161207390560953,0.0427777675643536,0.13694647043647434,0.14802947812970424,0.2508274695879905
18,0.05773393682207292,0.12135591905343826,0.04520946934308796,0.06936839328340046,0.07578581731916328,0.05136155091823568,0.04289603513100707,0.1373643292800944,0.1472663454407321,0.2516582034087362
19,0.057947018262110045,0.12196974010354728,0.04553403791081703,0.06925958415492199,0.07503856926505247,0.05126297184985258,0.04340599754084312,0.13671188754367544,0.1480983297989714,0.2507718635701764
20,0.057966713758960633,0.12172336664742832,0.045417297830018175,0.06899288594868556,0.0750779116996803,0.051110650537931186,0.043613167731945,0.13658594746872896,0.14830878255845653,0.25120327581813373
21,0.05767226517419123,0.1217459332630031,0.04527199611090721,0.06891856023033524,0.07517172942415445,0.05089576680703235,0.04332001787855534,0.13692193643484288,0.14764805939281506,0.2524337352841307
22,0.05743768560112089,0.12089730766187862,0.045076727034861944,0.06978025979595544,0.07402783061428717,0.05104560261185589,0.042798736061530715,0.13715961701014934,0.14806554173579986,0.2537106918725269
23,0.05758483112290738,0.12087350478190037,0.0457822941472861,0.06957662590595495,0.07446925568672229,0.05085767237153989,0.04298667257979096,0.1370441495367906,0.147940203035263,0.25288479083181137
