month,anger_avg,anticipation_avg,disgust_avg,fear_avg,joy_avg,sadness_avg,surprise_avg,trust_avg,negative_avg,positive_avg
1,0.05761368082481768,0.11639735106630869,0.04414717941821894,0.07177202948864146,0.07149345230411,0.050002452486507816,0.043552611610601644,0.13907908497866545,0.14384016883022435,0.262101988991867
2,0.057895424263421105,0.11925816835767714,0.04546467152990987,0.0711972164740481,0.07336915577324123,0.05043488397234929,0.04264895343431925,0.13729127253301168,0.14582797319197152,0.2566122804700181
3,0.058625982318056234,0.12096361471074253,0.047552164951153435,0.0690132075283437,0.0779719964954613,0.052762388532759566,0.042842633047587675,0.13717386581587623,0.1521092877354013,0.2409848588645859
4,0.05690334767306909,0.12450298498183682,0.04630080876350073,0.0672286288569101,0.078310187237697,0.05211940076751978,0.043364936862778876,0.13638432738643622,0.15418235695359747,0.24070302051662196
5,0.05790203884761006,0.1287474963886544,0.045648265458427345,0.06611665128122504,0.08097167801453492,0.05416423746929706,0.04579505812571013,0.1328873506109191,0.15396518678042476,0.23380203702316094
6,0.05743209415161971,0.12155077658545196,0.044782164779014526,0.0703693742665836,0.07554020510820342,0.05080888685187686,0.0437384934232532,0.13785302895804535,0.14639291478351238,0.2515320610924979
7,0.05896334989493528,0.12145870766443548,0.04621492960776194,0.06904356866315016,0.07736484920374823,0.05115730856157519,0.0430295098623079,0.13689589321256057,0.14921779693645865,0.24665408639314032
8,0.05786826414176122,0.11979137905319293,0.046503477331626096,0.06892779617815847,0.07251282926261737,0.05121964245343924,0.04227169819152946,0.1358787837275196,0.14867051620442295,0.25635561345569025
9,0.05623404061849963,0.12151083476206594,0.044782458782667525,0.07065101590082569,0.07199629411986828,0.04913603119288114,0.039898331827993724,0.1391861963179412,0.1441577019995657,0.2624470944776558
10,0.057206630829211284,0.11984522443129074,0.04333151014311211,0.07128530348515494,0.07244733518947355,0.05052724151243572,0.04119127544812445,0.13871118653438205,0.1439434171135904,0.2615108753131876
11,0.05617558743487073,0.1192061946090927,0.044789320935509906,0.07018652503259531,0.07224265044589229,0.04946736822016753,0.04139494532726454,0.13834911153860877,0.14424252517694536,0.2639457712790172
12,0.057215517801615566,0.11803077789859485,0.044971277464524104,0.07165259140626677,0.07077104526735688,0.05000952011379517,0.041740591366712515,0.13753111768081222,0.14498194738215134,0.2630956136181337
